user_id,month_x,duration,message_count,totalcost_calls,mb_used,totalcost_messages,totalcost
1000,12.0,116.83,11.0,0.11,1901.47,13.31029,84.58859
1001,8.0,171.14,30.0,0.8999999999999999,6919.15,6.41915,32.45335
1001,8.0,171.14,30.0,0.8999999999999999,6919.15,6.41915,43.06552
1001,8.0,171.14,30.0,0.8999999999999999,6919.15,6.41915,54.64379
1001,8.0,171.14,30.0,0.8999999999999999,6919.15,6.41915,50.322
1001,8.0,171.14,30.0,0.8999999999999999,6919.15,6.41915,50.36518
1001,9.0,297.69,44.0,1.3199999999999998,13314.82,12.81482,32.45335
1001,9.0,297.69,44.0,1.3199999999999998,13314.82,12.81482,43.06552
1001,9.0,297.69,44.0,1.3199999999999998,13314.82,12.81482,54.64379
1001,9.0,297.69,44.0,1.3199999999999998,13314.82,12.81482,50.322
1001,9.0,297.69,44.0,1.3199999999999998,13314.82,12.81482,50.36518
1001,10.0,374.11,53.0,1.59,22330.49,21.83049,32.45335
1001,10.0,374.11,53.0,1.59,22330.49,21.83049,43.06552
1001,10.0,374.11,53.0,1.59,22330.49,21.83049,54.64379
1001,10.0,374.11,53.0,1.59,22330.49,21.83049,50.322
1001,10.0,374.11,53.0,1.59,22330.49,21.83049,50.36518
1001,11.0,374.59,36.0,1.08,18504.3,18.0043,32.45335
1001,11.0,374.59,36.0,1.08,18504.3,18.0043,43.06552
1001,11.0,374.59,36.0,1.08,18504.3,18.0043,54.64379
1001,11.0,374.59,36.0,1.08,18504.3,18.0043,50.322
1001,11.0,374.59,36.0,1.08,18504.3,18.0043,50.36518
1001,12.0,339.2,44.0,1.3199999999999998,19369.18,18.86918,32.45335
1001,12.0,339.2,44.0,1.3199999999999998,19369.18,18.86918,43.06552
1001,12.0,339.2,44.0,1.3199999999999998,19369.18,18.86918,54.64379
1001,12.0,339.2,44.0,1.3199999999999998,19369.18,18.86918,50.322
1001,12.0,339.2,44.0,1.3199999999999998,19369.18,18.86918,50.36518
1002,10.0,54.13,15.0,0.4499999999999999,6552.01,6.05201,28.12591
1002,10.0,54.13,15.0,0.4499999999999999,6552.01,6.05201,50.59788
1002,10.0,54.13,15.0,0.4499999999999999,6552.01,6.05201,45.23684
1002,11.0,359.76,32.0,0.96,19345.08,18.845080000000003,28.12591
1002,11.0,359.76,32.0,0.96,19345.08,18.845080000000003,50.59788
1002,11.0,359.76,32.0,0.96,19345.08,18.845080000000003,45.23684
1002,12.0,337.02,41.0,1.23,14396.24,13.89624,28.12591
1002,12.0,337.02,41.0,1.23,14396.24,13.89624,50.59788
1002,12.0,337.02,41.0,1.23,14396.24,13.89624,45.23684
1003,12.0,990.06,50.0,1.5,24600.83,24.10083,60.30262999999999
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,31.70461
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,48.55242
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,54.78632
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,58.27754
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,47.52072
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,45.01053
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,55.69018
1004,5.0,181.58,7.0,0.21,6547.21,6.04721,52.38859
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,31.70461
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,48.55242
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,54.78632
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,58.27754
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,47.52072
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,45.01053
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,55.69018
1004,6.0,261.32,18.0,0.54,20672.82,20.17282,52.38859
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,31.70461
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,48.55242
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,54.78632
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,58.27754
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,47.52072
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,45.01053
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,55.69018
1004,7.0,332.99,26.0,0.78,24516.62,24.01662,52.38859
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,31.70461
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,48.55242
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,54.78632
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,58.27754
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,47.52072
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,45.01053
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,55.69018
1004,8.0,334.86,25.0,0.75,27981.74,27.48174,52.38859
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,31.70461
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,48.55242
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,54.78632
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,58.27754
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,47.52072
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,45.01053
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,55.69018
1004,9.0,284.6,21.0,0.63,18852.72,18.35272,52.38859
1004,10.0,341.63,24.0,0.72,14541.63,14.04163,31.70461
1004,10.0,341.63,24.0,0.72,14541.63,14.04163,48.55242
1004,10.0,341.63,24.0,0.72,14541.63,14.04163,54.78632
1004,10.0,341.63,24.0,0.72,14541.63,14.04163,58.27754
1004,10.0,341.63,24.0,0.72,14541.63,14.04163,47.52072
